Number,File Location,Title/Description,Date,Source Type,Priority Level for Synthesis Doc,New or Key Facts,Difference from previous assessment,Magnitude of bias - (|forecasted value - updated value|/forecasted value) x 100%,Bias rating discussion,Faster?,Worse?,Transformative Significance (# out 4),"Examples of broader implication (could do lots here, but going to give only 1 per entry as an example)",Indepedent Source Verification for 3/4s
114,Cryosphere & Poles/6.16.213.pdf,Global Monitoring Laboratory CH4,2023,Academic/Peer-reviewed,Secondary,insitu CH4 arctic gas measurements for 2022,2050 ppb,,,FALSE,FALSE,2,"I'm always worried when stations not TOO far from each other have such different readings.  Regional pulses can have lots of explanations, but when does expectation of variability allow releases to happen 'out of mind'?",
115,Cryosphere & Poles/6.16.214.pdf,Global Monitoring Laboratory CH4,2023,Academic/Peer-reviewed,Secondary,insitu CH4 arctic gas measurements for 2022,1975 ppb,,,FALSE,FALSE,2,,
116,Cryosphere & Poles/Collapse of Thwaites Eastern Ice Shelf by intersecting fractures_.pdf,Collapse of Thwaites Eastern Ice Shelf by intersecting fractures - field report,2021,Academic/Peer-reviewed,Primary,"Thwaites glacier tongue, eastern falling apart mechanically",Estimate of 2026 and the entire tongue is gone,89%,,TRUE,FALSE,3,"Given Thwaites wasn't expected to start melting until 2090, and tongue loss by 2026 means that Thwaites will begin to direclty fracture/melt, I'm confident this is a big error.  We'll see if I'm overestimating, but signs point to a fast deterioration.  I'm confident in that prediction but we'll see!",Multiple/Observation
117,Cryosphere & Poles/Picture 4.jpg,Eliot Jacobson Global Sea Ice extent,2024,Academic/Peer-reviewed,Secondary,2023 and 2024 global sea ice anomalies,"records for both years at this time of year, only 1 previous event 'worse'",,,TRUE,FALSE,3,"2016 and antarctica should have been a clue to everyone.  Sudden stability replaced with a less than decade loss of greenland worth of sea ice is such an obvious clue.  Then we find the salinity pump reversal of the smoc…Everything has a driver, we need to look for them.  Or build one out of the parts we can see",Observation
118,Cryosphere & Poles/State of the Cryosphere Report 2022.pdf,State of the Cryosphere 2022,2022,Academic/Peer-reviewed,Secondary,2022 report from ICCI,"Anticipates even with 'only' 1.6C, ice free summers are inevitable.  Anticipates .5 to 1m sea level rise by 2100",,,TRUE,TRUE,2,"This would mean no ice in summer for certain, just a question of 'when'.  Why should it be far away, if we know it's coming?  No summer ice > more local ocean warming > more permafrost melt > subsea bed warming > methane release.  That's the worst of the feedbacks I see from BOE",
119,Cryosphere & Poles/arctic climate emergency doc.pdf,A very inaccurate and doomer narrative.  We need to analyze perspectives sometimes though.  The Threat of Global Warming causing Near-Term Human Extinction,2020,News/Media,Secondary,doomer' document suggesting runaway climate change by 2021,"10C by 2021 driven by multiple feedbacks, methane hydrates, albedo drops, large cloud feedback, all culminating in nonlinear accelerations.  Like human extinction 2020 to 2030s",,,FALSE,FALSE,2,"I like to include these documents for an interesting reason, have you considered that if we hit 10C in something like 2200, then this document will be more correct than the IPCC saying we never hit it?  Likewise, if some people are still alive then, and die from it, then this document would AGAIN be more correct than the IPCC?  Is this laughable then, or is it more accurate (even while stilll quite biased towards disaster).  So why is it 'more laughable'?  I think we have a bias at work here, in all of us...except maybe this guy",
120,Cryosphere & Poles/artic sea ice extent.jpg,Climate Casino artice Sea ice,2025,Academic/Peer-reviewed,Secondary,2025 first months sea ice extent,"500,000 km anomaly, lowest ever",,,TRUE,FALSE,3,"Local conditions rule, we must remember this.  But doesn't that mean we should be calculating local tipping points whenever possible?  And comparing any events against them?  That's so obvious, but not every study does it",Observation
121,Cryosphere & Poles/bafkreibiexdadfetm2tm2c6xkal3bbyjpdflqijddbwnmv6mmu2it46gy4.jpg,Zachary Labe Hudson Bay Sea Ice,2025,Academic/Peer-reviewed,Secondary,Hudson bay sea ice for start of 2025,"Lowest ever, by 5% below last anomalous year (which was already 10%)",,,TRUE,FALSE,2,,
122,Cryosphere & Poles/bafkreie5gneuo6gswtjh7ctq7kqeuk4q54n6h4a27gnfooahzkldk5slta.jpg,Eliot Jacobson Global Sea Ice extent,2024,Academic/Peer-reviewed,Secondary,Global sea ice tracking at just above 2023 & 2016,2 to 3rd most anomalous,,,TRUE,FALSE,2,"2016 was most anomalous year for sea ice for a long time, also the year SMOC salinity 'flickered' heavily.  How much did it contribute?",
123,Cryosphere & Poles/bafkreiednpymtqchbaj2w7ljxzatbseshvz725sm2qayl2krartfumdzja.jpg,Global Sea Ice NDSIC,2024,Academic/Peer-reviewed,Secondary,Global sea ice towards start of year,"Approaching 5 deviation anomaly, most ever for the date",,,TRUE,FALSE,2,"We lose the ice, and the heating will skyrocket.  I suspect we will see this shortly, and I worry that the sea inertia has changed at the same time, meaning our assumptions on ratios may be wrong",
124,Cryosphere & Poles/decline of artic current.pdf,Decline of Antarctic Circumpolar Current due to polar ocean freshening,2025,Academic/Peer-reviewed,Secondary,"ice sheet models shows more freshening, altering current in ways not previous anticipated","ACC is modelled to SLOW and not accelerate, up to 20% by 2050.  This is CMIP6 and high 8 pathway",20%,,FALSE,TRUE,3,"Errors of 20% are mammoth to a huge system like this.  Makes me wonder if CMIP6 is catching this, what the reality is.  Stronger, weaker?  Salinity is said to be main driver",Multiple - Causal Mechanisms of Subpolar Gyre Variability in CMIP6 Models
125,Cryosphere & Poles/first ice free day before 2030.pdf,The first ice-free day in the Arctic Ocean could occur before 2030,2024,Academic/Peer-reviewed,Secondary,Model predictions on first ice free day for the arctic,"2026 is first possible, high likelihood before 2030 but mean for predictions is 29 years from 2023",,,TRUE,FALSE,2,,
126,Cryosphere & Poles/greenland increased crevassing.pdf,Increased crevassing across accelerating Greenland Ice Sheet margins,2023,Academic/Peer-reviewed,Secondary,"Study of greenland crevassing, modeling is update with 3d observational","Crevasse expansion can be faster than 5 years, not the 20+ anticipated.  Crevassing already widespread in regions, with likely 'faster than modelled' ice sheet loss as result",300%,,TRUE,TRUE,3,less than 5 years for crevasses many kilometers long is nightmarish.  Ice sheet loss becomes nonlinear and may keep accelerating in rates.  I'd be tempted to say 4 but maybe this is margin accelerated rather than body?,Multiple/Observation
127,Cryosphere & Poles/ice melt underestimated at 2c.pdf,"Ice melt, sea level rise and superstorms: evidence from paleoclimate data, climate modeling, and modern observations that 2 ?C global warming is highly dangerous",2014,Academic/Peer-reviewed,Secondary,Observations plus modelling of 2C and ice sheets/oceans,"2C is 'not safe', with nonlinear warming occuring with 50 to 150 years of that point.  10 year Doubling time for ice loss occurs at this point, and nonlinear events like superstorms, ocean stratification, and other feedbacks occur",,,TRUE,TRUE,4,"2C hasn't been seen as 'safe' for a long time, but it is often seen as 'not so bad'.  2C pathways are almost seen as 'good enough' in some literature.  But here we see 2C is possibly nonlinear itself, and now only 'timeframes' protect us.  But what if ice mechanically breaks apart faster than we think?  What if ocean currents are ALREADY shifting?  Then the timeframes would be accelerated yes?  Take any acceleration paper we have in this list, and add it to this.  2C is itself is recognizeable nonlinear, so if we're nonlinear already...then 2C will likely be far worse than even that.  It's not that 2C is nonliear alone, it's that we passed nonlinear some decades ago and didn't notice when the first changes were small.  We're not approaching nonlinear, we've been there for a while.",Multiple
128,Cryosphere & Poles/permafrost trapped in nordic.pdf,"Permafrost trapped natural gas in Svalbard, Norway",2023,Academic/Peer-reviewed,Secondary,Study of a specific methane rich gas pocket,"100,000m3 gas pocket in 60m deep permafrost discovered, thermogenic in origin.  Permafrost is NOT an effective seal on such deposits",,,TRUE,TRUE,4,"Permafrost isn't a magic substance, and isn't a reliable seal.  Even seabed permafrost can heat in subdecadal time frames, and large pockets of gas exist in such permafrost.  Reservoirs can be quite large in size, and nothing particularly 'special' about this one.  We should expect more, and expect them to be leaking shortly if not already.",Source apportionment of methane escaping the subsea permafrost system in the outer Eurasian Arctic Shelf
129,Cryosphere & Poles/rift-propagation-signals-the-last-act-of-the-thwaites-eastern-ice-shelf-despite-low-basal-melt-rates.pdf,Rift propagation signals the last act of the Thwaites Eastern Ice Shelf despite low basal melt rates,2024,Academic/Peer-reviewed,Secondary,Study of East shelf of thwaites,Physical rifting may actually be a larger force for ice loss than basal melt.  Implies nonlinear systemic reactions to heat,,,TRUE,TRUE,3,"It's like the plastic crisis.  Crevassing > more surface area > more melt/crevassing > faster total rate of disintegration.  Positive is that there is less ice and its not being made, so progression will quickly go slower here.  Bad news, that will because there's no ice, just more warm water which itself melts ice faster",Increased crevassing across accelerating Greenland Ice Sheet margins
130,Cryosphere & Poles/Global Change Biology - 2025 - Marañón?Jiménez - Warming Weakens Soil Nitrogen Stabilization Pathways Driving Proportional.pdf,"Warming Weakens Soil Nitrogen Stabilization 
Pathways Driving Proportional Carbon Losses in 
Subarctic Ecosystems",2025,Academic/Peer-reviewed,Prediction Verification,Study of arctic region nitrogen and soils,"Arctic greening is highly unlikely; arctic soils quickly deplete nitrogen upon permafrost melt, substrate of life fails due to no nitrogen fixation",,,FALSE,TRUE,,"I didn't even really consider the nitrogen in arctic soils, though I absolutely should have.  Still it makes absolute sense that any ancient nitrogen is quickly consumed without new input.  But there will always be a limiter now, every species is under multiple stressors, meaning if you rely on someone else it's not just your burdern acting on you, it's that other's burdern too.  Burden + burden",
131,Cryosphere & Poles/steinbach-et-al-2021-source-apportionment-of-methane-escaping-the-subsea-permafrost-system-in-the-outer-eurasian-arctic.pdf,Source apportionment of methane escaping the subsea permafrost system in the outer Eurasian Arctic Shelf,2021,Academic/Peer-reviewed,Secondary,"Study of particular gas seep, 2021","Deep old carbon pool, thermogenic and 50,000 year plus.  Means permafrost WAS sealing old gas, but now failing.  Suggestion of faster mobilization",,,TRUE,TRUE,4,"Not all gas seeps are 'safe' or 'natural'.  If old methane is leaking, we have a localized 'grenade' going off.  If we have lots of these, that's a cluster bomb.  And if we have fields or regions?  Methane bomb.  Now we are just determining size and speed of the explosion.  Given Shakhova warned of us this exact possibility over 50Gt, we have a right now problem.","Permafrost trapped natural gas in Svalbard, Norway"
132,Earth & Soil/Arctic Terrestrial Carbon Cycling - NOAA Arctic.pdf,Arctic Terrestrial Carbon Cycling,2024,Academic/Peer-reviewed,Primary,"Assessment by Arctic Report Card by NOAA, general overview","Arctic is likely now a net carbon producer, likely a feedback, especially tundra.  Likely Alaska tundra heating is .3 to .7/decade, 2x general warming.  Burned area is 161% higher than 1970 to 1990 average",,,TRUE,FALSE,2,"If the arctic is a net carbon producer, and contains vast amounts of stored carbon, at what point does that system become nonlinear in terms of 'runaway' heating?  Maybe if an outside system cools it that wouldn't be a concern, but what system is doing that?",
133,Earth & Soil/Biggest copper mines produced 20% less copper in 2023 â€“ Richard Mills â€“ Ahead of the Herd.pdf,Richard Mills news on Copper production,2023,Academic/Peer-reviewed,Secondary,multi-year analysis of 20 largest copper mines,"only 2 of 20 mines produced more in 2023 than 2020.  Generally copper production was down 20%.  Ore grades are also down, 30% in chile as example.  2025 shortfall is expected to be 6 million tonnes",20%,,FALSE,TRUE,3,"I put 20% assumption error here though it might be much larger, as copper is often identified as a 'limiting component'.  What's interesting to see here is the amount of infrastructure needed to sustain a copper mine, so when demand slips for even a small period, that math becomes daunting.  So look at this weak demand even for a few quarters > less incentive to build copper mine > more uncertainty in doing so > less expectation of supply > less green transition ambition.  We need to stimulate mining to even get started on scaling green tech",Observation
134,Earth & Soil/Figure1Nitrate.webp,USGS measurements of Nitrates by year,2020,Government,Secondary,assessment of tested nitrate growth in water samples in many states,20 to 50% increases in just 14 years.  No one test below 3mg/l,25%,Lower end taken,TRUE,TRUE,2,"If there are unsafe nitrate levels, we are approaching them year by year.  And if we're already in unsafe levels, we're surpassing them.  No way to stop this with industrial farming without changing fertiziling methods, and even then we have the existing nitrate levels to deal with.  Its almost exactly CO2 somewhere else",
135,Earth & Soil/WMM_Annual_Report_2023.pdf,STATE OF THE GEOMAGNETIC FIELD,2023,Academic/Peer-reviewed,Secondary,state of earth's magnetic field,"SAA continues to grow and drift, likewise despite only modest field changes north magnetic pole continues to move rapidly",,,FALSE,FALSE,1,,
136,Earth & Soil/Weather - 2025 - Curran - Natural sequestration of carbon dioxide is in decline  climate change will accelerate.pdf,Natural sequestration of carbon dioxide is in decline: climate change will accelerate,2025,Academic/Peer-reviewed,Secondary,natural sequestration of co2 likely peaked in 2008 and is now decreasing yearly,"we're now at -0.25% loss per year, meaning some amount of carbon growth is purely because of natural carbon sink feedbacks",,,TRUE,FALSE,3,"So now our burden is just our own, we have to also compensate for a year loss of natural capacity.  Our problems begin to compound, so when we plan solutions we better add some extra to make sure we really cover the 'size of the problem'.  Are we doing this?  Is that even possible using standard solutions?",Multiple
137,Earth & Soil/klotz-et-al-2025-sevenfold-underestimation-of-methane-emissions-from-non-producing-oil-and-gas-wells-in-canada.pdf,Sevenfold Underestimation of Methane Emissions from Non-producing Oil and Gas Wells in Canada,2025,Academic/Peer-reviewed,Secondary,analysis of emissions from Canadian non-producing oil and gas wells,"7x estimates, (230kt vs 34kt), a few super emitters",600%,,FALSE,TRUE,2,"Not knowing the true size of our emissions greatly constrains our analysis of what industries and places to attack.  I'd be more worried about this, but we're nowhere near the point that 34Kt is even the right order of magnitude of correction.  These sorts of leaks are 'not noteworthy' compared to the Gt every year",
138,Earth & Soil/global terrestrial nitrogen fixation and its modification by agriculture.pdf,,2025,Academic/Peer-reviewed,Secondary,assumptions about balanced or even 'pro' rates between nitrogen loss and nitrogen addition are likely off,"Natural BNF is likely 65 Tg N/yr, vs 56Tg N/yr.  1st is shrinking, 2nd is rising.  Natural BNF is likely down at least 12%.  Quite likely we've surpassed nitrogen removal in many natural places, let alone 'harvested' land",57%,,FALSE,TRUE,2,"Nitrogen is an even bigger limiter in this assessment.  This links up to our arctic nitrogen study, and suggests wheverever we missasess nitrogen, depletion will be severe and more like a hard wall to further large growth",
139,Earth & Soil/soil carbon feedback is large.pdf,Dominant control of temperature on (sub-)tropical soil carbon turnover,2025,Academic/Peer-reviewed,Primary,Tropical soil feedbacks are likely underestimated and in fact respond quickly and nonlinearly,"Soil feedbacks are likely 300% to 500% larger than current assumptions, at least for some soils.  Temp not precip is actual main driver.  Possibly speed increase over assumptions is 10x to 15x",200%,,TRUE,TRUE,3,"If soil feedbacks were larger, they'd be a much bigger problem.  Luckily even with the errors they're still (relatively) small.  Still if they're nonlinear, it's entirely possible we get a non-negligible extra forcing anytime now apparently.  Let's hope we don't have MORE errors here",Multiple
140,Food & Resources/5th straight coffee deficit.rtf,"Bloomberg report on severe global coffee shortage with Brazil arabica production cut to 34.4 million bags due to drought, projecting unprecedented fifth consecutive year of deficits at 8.5 million bags, arabica futures hit record highs",2025,News/Media,Secondary,Crop report from Brazil,"5th straight year of coffee production deficits, with these year revised 25% down from estimates, and next year seen to 'similar'",25%,,FALSE,TRUE,2,"Scoring crops for bias is a bit hard, given natural variability is expected.  But when you're down 5 years in a row, is that variable?  Or are your expectations now no longer realistic?",
141,Food & Resources/acute hunger.rtf,"Comprehensive report on record global hunger crisis with 282 million people facing acute food insecurity, conflict identified as primary driver causing 7,784-21,406 daily deaths, highlights weapon of starvation and gender inequality impacts",2024,News/Media,Primary,"2023 report on acute hunger, multiple NGOs","278 million in IPC3, 117 million displaced, 2023 numbers.  WFP says 282 million (up 10 percent from previous year).  Little progress on food index since 2016",,,FALSE,TRUE,2,"Being displaced increases chances of being food insecure, regions with high food insecurity increase chances of displacement, this can create a 'blossoming' problem where travel to a new region strains resources in that region, causing further hunger and then displacement.  Usually food distribution can stop this recruitment, but what if food recruitment doesn't come, and no bumper harvests appear?",
142,Food & Resources/citrus attracting huge prices during severe shortages.rtf,"Report on severe citrus shortage in Jamaica with prices reaching $15,000 per 90-pound box (up from $800), caused by citrus greening disease reducing production from 5 million to 1.1 million boxes annually, global shortage noted",2024,News/Media,Secondary,Jamaica report on citrus/oranges,"Box of oranges up 1900% from 15 years ago.  $2 million/acre potential profit, but greening is killing/destroying much potential",1800%,,FALSE,TRUE,2,"For around $40,000 to $60,000 investment 15 years ago, you could make $2/million a year now, assuming you avoid greening.  That's almost bitcoin levels of return, for a product that is ubiquitious in advanced societies worldwide.  Even real estate investment in that area (the reason many orange groves were previously torn down) now looks quite foolish",
143,Food & Resources/england suffers second worst havest on record.rtf,Report on second worst english harvest,2024,News/Media,Secondary,"Report on UK crops, 2024","Large >15% drops in multiple crops, general loss of 7%, though oats are up 8%.  Scotland effected as well",10%,,TRUE,FALSE,2,,
144,Food & Resources/extreme weather could make dairy farming fail.rtf,"Extreme weather could send milk prices soaring, deepening challenges for the dairy industry",2025,News/Media,Secondary,News review of Australian dairy industry 2024,"6,000 dairy farm in 2015 to just 4,163 in 2023.  Expected shortages of milk, cream and butter.",,,FALSE,TRUE,1,"This might just be consolidation, though article suggest climate stressors.",
145,Food & Resources/typical 2025 day in commodities.rtf,Commodities market snapshot,2025,News/Media,Secondary,Commodity snapshot for 2025,"Much larger shifts than historical.  Eleveated coffee, cocoa, beef, and gold amongst many others",,,TRUE,TRUE,2,"Lots that could be gone over here, but it’s the YOY numbers I pay most attention too.  Markets with +50% swings in perishabled prices means greater operating capital needed to price shipments, which slowly squeezes out smaller players.  Consolidation is favored then",
146,Food & Resources/2023 world energy production.jpg,2023 World Energy Production - Peter Carter Climate Emergency Institute,2023,Academic/Peer-reviewed,Secondary,2023 energy snapshot,"Fossil fuels down to 80% of total energy production, from 82% in 2010.  Total fossil fuel usage is up 15% however",,,FALSE,TRUE,3,"This is the problem with green tech, there is a 'story' here as much as the anti-green tech.  If absolute numbers on CO2 into atmosphere aren't changing, then what is green tech except a distraction?  If global warming is our problem, and the problem is speeding up, then adding other industries we must 'grow first' is adding miles to our marathon.  Maybe they are NECESSARY miles sure, but if the road doesn't definitely lead to where we need to go...then are we sure they're not a failed detour?  Where is our confidence coming from?","Copper mines, multiple"
147,Food & Resources/FEED_Ontario_HungerReport24.pdf,UNRAVELLING AT THE SEAMS food report from Ontario,2025,Academic/Peer-reviewed,Secondary,"Report on Ontario foodback usage, pre-2025 elections","73% increase in users in just 2 years, 139% since 2019.  42% of users make minimum wage or less, meaning most are above.  All regions of ontario up by double digits",73%,,FALSE,TRUE,3,"Pandemic is 'over' and hunger is surging.  Inflation/cost of living definitely, but consider:  less government funding > less foodback supply > more malnutrition and misery > more populism > less government funding?  It appears to be happening, and the food cuts are going international.  Meaning one nation's food pain might be spreading to others.  Sympathy rises with hunger, but note that our leaders never seem to be hungry themselves.",Multiple/Observation
148,Food & Resources/Gd-tlgVWwAA4fku.png,Reuters news article about Russian harvests,2024,News/Media,Secondary,"Report on Russia's winter crops, 2025","only 31% in 'good' condition, vs 74% last year",,,FALSE,TRUE,2,,
149,Food & Resources/Global fossil fuel consumption.jfif,World In Data Fossil Fuel snapshot,2024,Government,Secondary,Global fossil fuel consumption 2024,"140,000 TWH, up 155% from 2000",,,FALSE,TRUE,2,"more CO2 > more heating > more need for more CO2 (to repair, rebuild, adapt, etc).  And that's on TOP of any growth we want to do",
150,Food & Resources/GsDQWlJW4AA1kXZ.png,from x @kannbwx Us Wheat Harvest,2025,News/Media,Secondary,US spring wheat conditions,only 2 of last 5 years have been (good>60%),60%,,FALSE,TRUE,2,I'm scoring this because either we've had a very bad run of luck for the last five years (coincidence?) or we're bad at grading wheat.  Maybe we're too demanding ? Or have growing conditions changed in some fashion?,
151,Food & Resources/cereal getting unhealthier in 10 years.pdf,Nutritional Content of Ready-to-Eat Breakfast Cereals Marketed to Children,2025,Academic/Peer-reviewed,Secondary,Study of around 2300 breakfast cereal offerings from 2010 to 2020,"Sodium, fat and sugar all increased by >10%, meanwhile fiber is down 23% and protein is down around 9%.  Industry self regulation has allowed deteriorating conditions",33%,,FALSE,TRUE,2,"This is a 'rough' estimate of how much more unhealthy the cereals are, and consider this is just 10 years!  3% degradation a year is pretty wild, and maybe ultraprocessed foods are worse.  But we have studies showing grown foods suffering too.  Could it be...all food?  Or is it just the most common food item given to developing children?",
152,Food & Resources/commodity volatility.jpg,Commodity volatility,2024,Unknown,Secondary,"Major food commodity tracker, USA","After a 10 year period of relative stability, 2020 to 2025 shows accelerating volatility in all tracked items",,,TRUE,TRUE,2,"worse climate > worse harvests sure, but we also have inflation > volatility, conflict > volatility, political brinkmanship and volatility > market volatility, financial consolidation > initial period of volatility.  The list goes on, and whatever the strongest causes, it's not calming yet",
153,Food & Resources/drop in nutritional quality of food.pdf,An Alarming Decline in the Nutritional Quality of Foods: The Biggest Challenge for Future Generations’ Health,2024,Academic/Peer-reviewed,Primary,survey of Indian crops and farming techniques and resulting nutritional quality,"soil degradation, agronomic/genetic dilution and increased CO2 appear to be effecting grown food quality across the board.  Many foods have double digit drops in all mineral/vitamin indicators, and some quite high >50%.  Traditional food stuffs are often up to 99% denser but not being grown in light of industrial farming methods",50%,,FALSE,TRUE,3,"So grown foods are degrading in most micronutrients, but the CO2 association is especially interesting.  Tell me, do you do better with more sugar in your system?  Sugar is a food no?  So why do we think plants will defiitely thrive with more CO2?  Maybe they get CO2 diabetes, I don't know, but I'm guess it's more complicated than just more inputs always > more growth",Multiple
154,Food & Resources/fishery stocks overestimated.pdf,Stock assessment models overstate sustainability of the world’s fisheries,2024,Academic/Peer-reviewed,Primary,"Study on fishery stocks and biomass, worldwide","185% increase in collapsed fishery stocks, once counts are corrected.  66% of stocks needed to be adjusted, almost all downwards.  Some estimates were over 1.5x correct numbers.  General overstimation bias was 9.8+/-3%",10%,,TRUE,TRUE,3,"I'd like to suggest, if our ability to count keeps getting shown to be off by even single digits, rather than decimal places, maybe we shouldn't be quite so confident in any of our 'several figures deep' synthesis",Observation
155,Food & Resources/denver faces decline in restaurants.rtf,Denver restaurants closing at excessive rates,2025,News/Media,Secondary,Report on denver area restaurants,22% drop in Denver food licenses in 3 years.  Tip wage is up 89% since 2019.,,,FALSE,TRUE,1,"Increased wages > less small businesses, but consolidation > less wages, so it's a bit interesting.  What stimulation do we have going for small businesses?",
156,Food & Resources/grain.pdf,Grain: World Markets and Trade,2022,Government,Secondary,2022 Grain reports from USDA,"Grain production does not meet consumption for another year, Ukraine has lost production, China is stockpiling, and yet US exports are also down",,,FALSE,TRUE,2,"When global markets work, one nation's downturn might be fairly readily (if expensively) addressed.  But as a thought experiment, what if 2 nations both want grain?  One to stockpile, and one to arrest active hunger.  Who wins?",
157,Food & Resources/kansas wheat futures.jpg,from x @kannbwx Us Wheat Futures,2025,News/Media,Secondary,Snapshot of 2025 Kansa wheat futures,"Lowest point since 2007, -74.9",,,FALSE,TRUE,1,,
158,Food & Resources/min-vit.webp,Estimate of vitamin loss from common crops,2025,Unknown,Secondary,Snapshot of 1950 american crops vs a sample from 2001,"Drops in most micronutrients, with only a few major increases, notably lipids.  Food appears to be 'less nutritious' often by >60% in many metrics",60%,,FALSE,TRUE,2,"Apples aren't apples, broccoli isn't broccoli.  Of course that's what happens with changes, but it's interesting to think the same meal made 70 years before might have been 'adequate' and now isn't.  Have we updated our cookbooks?",
159,Food & Resources/rare earth production.png,Geological Survery of Finland - production of rare earth metals,2024,News/Media,Primary,logarthimic assessment of global production of rare earths vs what is needed for certain levels of 'green transition',"Cu and Graphite are notably 1000x off from necessary production.  Some 'over assumptions' here on how much rare earth is needed, and yet production gap picture is generally accurate.  IE production is not near to consumption demand, so time would be needed to 'ramp up' production",900%,,FALSE,TRUE,3,"I don't pick and choose numbers, and while I think this is high, it's of interest to me that it might not be?  If that level of scaling is needed, then we'd need to produce…what, at least 20 years of further emissions?  Didn't we say elsewhere that 20 more years of pollution is at least 100ppm CO2 equivalent?  Could be another 1 to 2C then before we can 'transition', in a best case","Global Drought Hotspots Report Catalogs Severe Suffering, Economic Damage"
160,Governments & Nations & War/Assad Syria.rtf,"Report on Syrian leader Bashar Assad's fall from power after rebel advance on Damascus, ending 50 years of Assad family rule, details his flight to Moscow and rebel groups taking control with promises of pluralism and religious tolerance",2024,Government,Primary,Revolution in Syria following 14 year civil war,"50 years of Assad rule is ended in 2 weeks.  Assad has fled to Russia.  Iran, Hamas and Russia have all had to abandon Syrian support due to their own ongoing crises",,,TRUE,FALSE,3,1 year is a generous view of how long it took for Syria to go from rebellion > international recognition > further infighting > attacks from Israel,Observation
161,Governments & Nations & War/EPA launches biggest deregulatory action in us history.rtf,EPA Launches Biggest Deregulatory Action in U.S. History,2025,News/Media,Primary,EPA changes following 24 election,"Department claims 'largest deregulation' action of the modern era, 31 specific repeals and banning of climate change as a word/concept",,,FALSE,TRUE,4,"Some napkin math.  4 years until the soonest the EPA could be 'ordered restored' + (amount of time it takes to rebuild the organization) + (the amount of time it would take to put together an action plan) + (the time it would take to implement it).  Maybe if the EPA isn't needed, we can ignore this additional time.  BUT, it's hard to imagine that if we couldn't get this going with resources already laying around, that we'll be more likely to without them.  So what would this likely be? Less than 10 years seems unrealistic, but sure, let's go with 7.  That means 2032 before the US can start to act effectively, with a bureacracy to support efforts.  And notice, that's TWO election cycles away.  How much have things been changing with just one for the last while?  Sure that's just the US but I wonder...are other nations having their own problems too?  How many?",Observation
162,Governments & Nations & War/Fall of Haiti.rtf,Report on Fall of Haiti,2025,News/Media,Primary,News story on Haitian reality,"Port-au-Prince has fallen, 90% controlled by gangs, Kenyan forces have 'retreated', no government and central districts of nation all cut off/under gang control.  Unknown numbers of death/starvation/displacement",,,FALSE,TRUE,3,"With Kenyan forces out of large scale action, and the UN with no plans for peacekeepers so far, where does this leave Haiti?  Do the citizens fight the gangs off with militias?  How long might that take?  Or…could the gangs take over the country?  Hardly the first time criminals have ended up politicians.  Or does the country just keep degrading into...what?  Full collapse?",Observation
163,Governments & Nations & War/ICE prepares to raid 5 us cities.rtf,ICE raids on LA,2025,Government,Secondary,"Anti-immigrant push by new government, presented as a return to law and order",5 cities/areas set to be 'raided',,,FALSE,TRUE,1,It is interesting to see troops used against the desires of local law officials.  What other situations could the federal government use force against a state?  What are the limits there?,
164,Governments & Nations & War/India and Pakistan water conflict.rtf,Report on the water conflict between India and Pakistan,2025,Government,Primary,India and Pakistan appear to be poised for further exchange of fire,Pakistan says they will attack any structures on Indus river.  India says no negotiation.  4 days of direct fire (at least),,,TRUE,TRUE,3,"Interesting game theory here.  Pakistan says 'war if no water.'  India says 'No water under any circumstances' .  This means one government must be wrong, yes?  Someone will have to break their promises to their people, or else war will happen.  But both countries have already exchanged direct fire?  Are we so certain this will not escalate?  And how strange a coincidence that Iran/Israel and Pakistan/India have both exchanged fire for the first time in 50+ years at the same time?",Observation
165,Governments & Nations & War/Irans problem a crumbling economy.rtf,Problems with Irans powergride prior to Israel attak,2024,Government,Secondary,Report on conditions in Iran in March of 2025,"Prior to full Israel attack, inflation was up 156% in less than a year, with an energy crisis affecting GDP and regular blackouts",,,FALSE,TRUE,3,The fall of Iran might (in an alternate reality) be a good history book.  Note how fast geopolitical 'realities' have shifted since 2020.  Why is this?,Observation
166,Governments & Nations & War/Off the Charts LA fire conditions.rtf,LA fire conditions and results,2025,News/Media,Primary,Report on fires at 2025,"Soil moisture is 2 to 5% normal, with 200% vapor pressure anomaly.  Off the charts.  Of note, David Lynch dies to this event, and the largest $ disaster in CA history results 250 to 275 billion",100%,,FALSE,TRUE,3,"When figures show up that haven't been recorded before, and then the costliest disaster in CA history occurs, I call that a conservative bias.  City planners, weathermen, politicians, citizenry, it's hard to pinpoint exactly where it might live, unless of course it's widespread.  Of sad note, I used to love David's weather bulletins.  And his COPD had recently taken him out of 'directing'.  COPD + age + wildfire smoke is a sad combination",Observation
167,Governments & Nations & War/SCOTUS upholds trans ban for youth.rtf,SCOTUS upholds ban on T affirming youth care,2025,Government,Primary,A rollback on trans issues continues at the SCOTUS/federal level,"Bans on youth gender-affirming care are upheld.  22 states have some form of this already, 6 to 3",,,FALSE,TRUE,1,"society can interfere with science, we all know this.  But do we ever consider, is this a sign that evidence isn't important to some of us?  Or at least less important than what we feel?",
